id,acronym,color_hex_triplet,name,graph_order,parent_structure_id,structure_id_path,parcellation_index
997,root,FFFFFF,root,0,-1,/997/,987
8,grey,BFDAE3,Basic cell groups and regions,1,997,/997/8/,7
567,CH,B0F0FF,Cerebrum,2,8,/997/8/567/,557
688,CTX,B0FFB8,Cerebral cortex,3,567,/997/8/567/688/,678
695,CTXpl,70FF70,Cortical plate,4,688,/997/8/567/688/695/,685
315,Isocortex,70FF71,Isocortex,5,695,/997/8/567/688/695/315/,305
184,FRP,268F45,"Frontal pole, cerebral cortex",6,315,/997/8/567/688/695/315/184/,177
68,FRP1,268F45,"Frontal pole, layer 1",7,184,/997/8/567/688/695/315/184/68/,63
667,FRP2/3,268F45,"Frontal pole, layer 2/3",8,184,/997/8/567/688/695/315/184/667/,657
526157192,FRP5,268F45,"Frontal pole, layer 5",9,184,/997/8/567/688/695/315/184/526157192/,1288
526157196,FRP6a,268F45,"Frontal pole, layer 6a",10,184,/997/8/567/688/695/315/184/526157196/,1289
526322264,FRP6b,268F45,"Frontal pole, layer 6b",11,184,/997/8/567/688/695/315/184/526322264/,1290
500,MO,1F9D5A,Somatomotor areas,12,315,/997/8/567/688/695/315/500/,490
107,MO1,1F9D5A,"Somatomotor areas, Layer 1",13,500,/997/8/567/688/695/315/500/107/,102
219,MO2/3,1F9D5A,"Somatomotor areas, Layer 2/3",14,500,/997/8/567/688/695/315/500/219/,212
299,MO5,1F9D5A,"Somatomotor areas, Layer 5",15,500,/997/8/567/688/695/315/500/299/,289
644,MO6a,1F9D5A,"Somatomotor areas, Layer 6a",16,500,/997/8/567/688/695/315/500/644/,634
947,MO6b,1F9D5A,"Somatomotor areas, Layer 6b",17,500,/997/8/567/688/695/315/500/947/,937
985,MOp,1F9D5A,Primary motor area,18,500,/997/8/567/688/695/315/500/985/,975
320,MOp1,1F9D5A,"Primary motor area, Layer 1",19,985,/997/8/567/688/695/315/500/985/320/,310
943,MOp2/3,1F9D5A,"Primary motor area, Layer 2/3",20,985,/997/8/567/688/695/315/500/985/943/,933
648,MOp5,1F9D5A,"Primary motor area, Layer 5",21,985,/997/8/567/688/695/315/500/985/648/,638
844,MOp6a,1F9D5A,"Primary motor area, Layer 6a",22,985,/997/8/567/688/695/315/500/985/844/,834
882,MOp6b,1F9D5A,"Primary motor area, Layer 6b",23,985,/997/8/567/688/695/315/500/985/882/,872
993,MOs,1F9D5A,Secondary motor area,24,500,/997/8/567/688/695/315/500/993/,983
656,MOs1,1F9D5A,"Secondary motor area, layer 1",25,993,/997/8/567/688/695/315/500/993/656/,646
962,MOs2/3,1F9D5A,"Secondary motor area, layer 2/3",26,993,/997/8/567/688/695/315/500/993/962/,952
767,MOs5,1F9D5A,"Secondary motor area, layer 5",27,993,/997/8/567/688/695/315/500/993/767/,757
1021,MOs6a,1F9D5A,"Secondary motor area, layer 6a",28,993,/997/8/567/688/695/315/500/993/1021/,1010
1085,MOs6b,1F9D5A,"Secondary motor area, layer 6b",29,993,/997/8/567/688/695/315/500/993/1085/,1074
453,SS,188064,Somatosensory areas,30,315,/997/8/567/688/695/315/453/,443
12993,SS1,188064,"Somatosensory areas, layer 1",31,453,/997/8/567/688/695/315/453/12993/,1194
12994,SS2/3,188064,"Somatosensory areas, layer 2/3",32,453,/997/8/567/688/695/315/453/12994/,1195
12995,SS4,188064,"Somatosensory areas, layer 4",33,453,/997/8/567/688/695/315/453/12995/,1196
12996,SS5,188064,"Somatosensory areas, layer 5",34,453,/997/8/567/688/695/315/453/12996/,1197
12997,SS6a,188064,"Somatosensory areas, layer 6a",35,453,/997/8/567/688/695/315/453/12997/,1198
12998,SS6b,188064,"Somatosensory areas, layer 6b",36,453,/997/8/567/688/695/315/453/12998/,1199
322,SSp,188064,Primary somatosensory area,37,453,/997/8/567/688/695/315/453/322/,312
793,SSp1,188064,"Primary somatosensory area, layer 1",38,322,/997/8/567/688/695/315/453/322/793/,783
346,SSp2/3,188064,"Primary somatosensory area, layer 2/3",39,322,/997/8/567/688/695/315/453/322/346/,336
865,SSp4,188064,"Primary somatosensory area, layer 4",40,322,/997/8/567/688/695/315/453/322/865/,855
921,SSp5,188064,"Primary somatosensory area, layer 5",41,322,/997/8/567/688/695/315/453/322/921/,911
686,SSp6a,188064,"Primary somatosensory area, layer 6a",42,322,/997/8/567/688/695/315/453/322/686/,676
719,SSp6b,188064,"Primary somatosensory area, layer 6b",43,322,/997/8/567/688/695/315/453/322/719/,709
353,SSp-n,188064,"Primary somatosensory area, nose",44,322,/997/8/567/688/695/315/453/322/353/,343
558,SSp-n1,188064,"Primary somatosensory area, nose, layer 1",45,353,/997/8/567/688/695/315/453/322/353/558/,548
838,SSp-n2/3,188064,"Primary somatosensory area, nose, layer 2/3",46,353,/997/8/567/688/695/315/453/322/353/838/,828
654,SSp-n4,188064,"Primary somatosensory area, nose, layer 4",47,353,/997/8/567/688/695/315/453/322/353/654/,644
702,SSp-n5,188064,"Primary somatosensory area, nose, layer 5",48,353,/997/8/567/688/695/315/453/322/353/702/,692
889,SSp-n6a,188064,"Primary somatosensory area, nose, layer 6a",49,353,/997/8/567/688/695/315/453/322/353/889/,879
929,SSp-n6b,188064,"Primary somatosensory area, nose, layer 6b",50,353,/997/8/567/688/695/315/453/322/353/929/,919
329,SSp-bfd,188064,"Primary somatosensory area, barrel field",51,322,/997/8/567/688/695/315/453/322/329/,319
981,SSp-bfd1,188064,"Primary somatosensory area, barrel field, layer 1",52,329,/997/8/567/688/695/315/453/322/329/981/,971
201,SSp-bfd2/3,188064,"Primary somatosensory area, barrel field, layer 2/3",53,329,/997/8/567/688/695/315/453/322/329/201/,194
1047,SSp-bfd4,188064,"Primary somatosensory area, barrel field, layer 4",54,329,/997/8/567/688/695/315/453/322/329/1047/,1036
1070,SSp-bfd5,188064,"Primary somatosensory area, barrel field, layer 5",55,329,/997/8/567/688/695/315/453/322/329/1070/,1059
1038,SSp-bfd6a,188064,"Primary somatosensory area, barrel field, layer 6a",56,329,/997/8/567/688/695/315/453/322/329/1038/,1027
1062,SSp-bfd6b,188064,"Primary somatosensory area, barrel field, layer 6b",57,329,/997/8/567/688/695/315/453/322/329/1062/,1051
480149202,VISrll,188064,Rostrolateral lateral visual area,58,329,/997/8/567/688/695/315/453/322/329/480149202/,1235
480149206,VISrll1,188064,"Rostrolateral lateral visual area, layer 1",59,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149206/,1236
480149210,VISrll2/3,188064,"Rostrolateral lateral visual area, layer 2/3",60,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149210/,1237
480149214,VISrll4,188064,"Rostrolateral lateral visual area, layer 4",61,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149214/,1238
480149218,VISrll5,188064,"Rostrolateral lateral visual area,layer 5",62,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149218/,1239
480149222,VISrll6a,188064,"Rostrolateral lateral visual area, layer 6a",63,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149222/,1240
480149226,VISrll6b,188064,"Rostrolateral lateral visual area, layer 6b",64,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149226/,1241
337,SSp-ll,188064,"Primary somatosensory area, lower limb",65,322,/997/8/567/688/695/315/453/322/337/,327
1030,SSp-ll1,188064,"Primary somatosensory area, lower limb, layer 1",66,337,/997/8/567/688/695/315/453/322/337/1030/,1019
113,SSp-ll2/3,188064,"Primary somatosensory area, lower limb, layer 2/3",67,337,/997/8/567/688/695/315/453/322/337/113/,108
1094,SSp-ll4,188064,"Primary somatosensory area, lower limb, layer 4",68,337,/997/8/567/688/695/315/453/322/337/1094/,1083
1128,SSp-ll5,188064,"Primary somatosensory area, lower limb, layer 5",69,337,/997/8/567/688/695/315/453/322/337/1128/,1115
478,SSp-ll6a,188064,"Primary somatosensory area, lower limb, layer 6a",70,337,/997/8/567/688/695/315/453/322/337/478/,468
510,SSp-ll6b,188064,"Primary somatosensory area, lower limb, layer 6b",71,337,/997/8/567/688/695/315/453/322/337/510/,500
345,SSp-m,188064,"Primary somatosensory area, mouth",72,322,/997/8/567/688/695/315/453/322/345/,335
878,SSp-m1,188064,"Primary somatosensory area, mouth, layer 1",73,345,/997/8/567/688/695/315/453/322/345/878/,868
657,SSp-m2/3,188064,"Primary somatosensory area, mouth, layer 2/3",74,345,/997/8/567/688/695/315/453/322/345/657/,647
950,SSp-m4,188064,"Primary somatosensory area, mouth, layer 4",75,345,/997/8/567/688/695/315/453/322/345/950/,940
974,SSp-m5,188064,"Primary somatosensory area, mouth, layer 5",76,345,/997/8/567/688/695/315/453/322/345/974/,964
1102,SSp-m6a,188064,"Primary somatosensory area, mouth, layer 6a",77,345,/997/8/567/688/695/315/453/322/345/1102/,1091
2,SSp-m6b,188064,"Primary somatosensory area, mouth, layer 6b",78,345,/997/8/567/688/695/315/453/322/345/2/,2
369,SSp-ul,188064,"Primary somatosensory area, upper limb",79,322,/997/8/567/688/695/315/453/322/369/,359
450,SSp-ul1,188064,"Primary somatosensory area, upper limb, layer 1",80,369,/997/8/567/688/695/315/453/322/369/450/,440
854,SSp-ul2/3,188064,"Primary somatosensory area, upper limb, layer 2/3",81,369,/997/8/567/688/695/315/453/322/369/854/,844
577,SSp-ul4,188064,"Primary somatosensory area, upper limb, layer 4",82,369,/997/8/567/688/695/315/453/322/369/577/,567
625,SSp-ul5,188064,"Primary somatosensory area, upper limb, layer 5",83,369,/997/8/567/688/695/315/453/322/369/625/,615
945,SSp-ul6a,188064,"Primary somatosensory area, upper limb, layer 6a",84,369,/997/8/567/688/695/315/453/322/369/945/,935
1026,SSp-ul6b,188064,"Primary somatosensory area, upper limb, layer 6b",85,369,/997/8/567/688/695/315/453/322/369/1026/,1015
361,SSp-tr,188064,"Primary somatosensory area, trunk",86,322,/997/8/567/688/695/315/453/322/361/,351
1006,SSp-tr1,188064,"Primary somatosensory area, trunk, layer 1",87,361,/997/8/567/688/695/315/453/322/361/1006/,996
670,SSp-tr2/3,188064,"Primary somatosensory area, trunk, layer 2/3",88,361,/997/8/567/688/695/315/453/322/361/670/,660
1086,SSp-tr4,188064,"Primary somatosensory area, trunk, layer 4",89,361,/997/8/567/688/695/315/453/322/361/1086/,1075
1111,SSp-tr5,188064,"Primary somatosensory area, trunk, layer 5",90,361,/997/8/567/688/695/315/453/322/361/1111/,1100
9,SSp-tr6a,188064,"Primary somatosensory area, trunk, layer 6a",91,361,/997/8/567/688/695/315/453/322/361/9/,8
461,SSp-tr6b,188064,"Primary somatosensory area, trunk, layer 6b",92,361,/997/8/567/688/695/315/453/322/361/461/,451
182305689,SSp-un,188064,"Primary somatosensory area, unassigned",93,322,/997/8/567/688/695/315/453/322/182305689/,1200
182305693,SSp-un1,188064,"Primary somatosensory area, unassigned, layer 1",94,182305689,/997/8/567/688/695/315/453/322/182305689/182305693/,1201
182305697,SSp-un2/3,188064,"Primary somatosensory area, unassigned, layer 2/3",95,182305689,/997/8/567/688/695/315/453/322/182305689/182305697/,1202
182305701,SSp-un4,188064,"Primary somatosensory area, unassigned, layer 4",96,182305689,/997/8/567/688/695/315/453/322/182305689/182305701/,1203
182305705,SSp-un5,188064,"Primary somatosensory area, unassigned, layer 5",97,182305689,/997/8/567/688/695/315/453/322/182305689/182305705/,1204
182305709,SSp-un6a,188064,"Primary somatosensory area, unassigned, layer 6a",98,182305689,/997/8/567/688/695/315/453/322/182305689/182305709/,1205
182305713,SSp-un6b,188064,"Primary somatosensory area, unassigned, layer 6b",99,182305689,/997/8/567/688/695/315/453/322/182305689/182305713/,1206
378,SSs,188064,Supplemental somatosensory area,100,453,/997/8/567/688/695/315/453/378/,368
873,SSs1,188064,"Supplemental somatosensory area, layer 1",101,378,/997/8/567/688/695/315/453/378/873/,863
806,SSs2/3,188064,"Supplemental somatosensory area, layer 2/3",102,378,/997/8/567/688/695/315/453/378/806/,796
1035,SSs4,188064,"Supplemental somatosensory area, layer 4",103,378,/997/8/567/688/695/315/453/378/1035/,1024
1090,SSs5,188064,"Supplemental somatosensory area, layer 5",104,378,/997/8/567/688/695/315/453/378/1090/,1079
862,SSs6a,188064,"Supplemental somatosensory area, layer 6a",105,378,/997/8/567/688/695/315/453/378/862/,852
893,SSs6b,188064,"Supplemental somatosensory area, layer 6b",106,378,/997/8/567/688/695/315/453/378/893/,883
1057,GU,009C75,Gustatory areas,107,315,/997/8/567/688/695/315/1057/,1046
36,GU1,009C75,"Gustatory areas, layer 1",108,1057,/997/8/567/688/695/315/1057/36/,32
180,GU2/3,009C75,"Gustatory areas, layer 2/3",109,1057,/997/8/567/688/695/315/1057/180/,173
148,GU4,009C75,"Gustatory areas, layer 4",110,1057,/997/8/567/688/695/315/1057/148/,143
187,GU5,009C75,"Gustatory areas, layer 5",111,1057,/997/8/567/688/695/315/1057/187/,180
638,GU6a,009C75,"Gustatory areas, layer 6a",112,1057,/997/8/567/688/695/315/1057/638/,628
662,GU6b,009C75,"Gustatory areas, layer 6b",113,1057,/997/8/567/688/695/315/1057/662/,652
677,VISC,11AD83,Visceral area,114,315,/997/8/567/688/695/315/677/,667
897,VISC1,11AD83,"Visceral area, layer 1",115,677,/997/8/567/688/695/315/677/897/,887
1106,VISC2/3,11AD83,"Visceral area, layer 2/3",116,677,/997/8/567/688/695/315/677/1106/,1095
1010,VISC4,11AD83,"Visceral area, layer 4",117,677,/997/8/567/688/695/315/677/1010/,1000
1058,VISC5,11AD83,"Visceral area, layer 5",118,677,/997/8/567/688/695/315/677/1058/,1047
857,VISC6a,11AD83,"Visceral area, layer 6a",119,677,/997/8/567/688/695/315/677/857/,847
849,VISC6b,11AD83,"Visceral area, layer 6b",120,677,/997/8/567/688/695/315/677/849/,839
247,AUD,019399,Auditory areas,121,315,/997/8/567/688/695/315/247/,240
1011,AUDd,019399,Dorsal auditory area,122,247,/997/8/567/688/695/315/247/1011/,1001
527,AUDd1,019399,"Dorsal auditory area, layer 1",123,1011,/997/8/567/688/695/315/247/1011/527/,517
600,AUDd2/3,019399,"Dorsal auditory area, layer 2/3",124,1011,/997/8/567/688/695/315/247/1011/600/,590
678,AUDd4,019399,"Dorsal auditory area, layer 4",125,1011,/997/8/567/688/695/315/247/1011/678/,668
252,AUDd5,019399,"Dorsal auditory area, layer 5",126,1011,/997/8/567/688/695/315/247/1011/252/,245
156,AUDd6a,019399,"Dorsal auditory area, layer 6a",127,1011,/997/8/567/688/695/315/247/1011/156/,151
243,AUDd6b,019399,"Dorsal auditory area, layer 6b",128,1011,/997/8/567/688/695/315/247/1011/243/,236
480149230,VISlla,019399,Laterolateral anterior visual area,129,1011,/997/8/567/688/695/315/247/1011/480149230/,1242
480149234,VISlla1,019399,"Laterolateral anterior visual area, layer 1",130,480149230,/997/8/567/688/695/315/247/1011/480149230/480149234/,1243
480149238,VISlla2/3,019399,"Laterolateral anterior visual area, layer 2/3",131,480149230,/997/8/567/688/695/315/247/1011/480149230/480149238/,1244
480149242,VISlla4,019399,"Laterolateral anterior visual area, layer 4",132,480149230,/997/8/567/688/695/315/247/1011/480149230/480149242/,1245
480149246,VISlla5,019399,"Laterolateral anterior visual area,layer 5",133,480149230,/997/8/567/688/695/315/247/1011/480149230/480149246/,1246
480149250,VISlla6a,019399,"Laterolateral anterior visual area, layer 6a",134,480149230,/997/8/567/688/695/315/247/1011/480149230/480149250/,1247
480149254,VISlla6b,019399,"Laterolateral anterior visual area, layer 6b",135,480149230,/997/8/567/688/695/315/247/1011/480149230/480149254/,1248
1002,AUDp,019399,Primary auditory area,136,247,/997/8/567/688/695/315/247/1002/,992
735,AUDp1,019399,"Primary auditory area, layer 1",137,1002,/997/8/567/688/695/315/247/1002/735/,725
251,AUDp2/3,019399,"Primary auditory area, layer 2/3",138,1002,/997/8/567/688/695/315/247/1002/251/,244
816,AUDp4,019399,"Primary auditory area, layer 4",139,1002,/997/8/567/688/695/315/247/1002/816/,806
847,AUDp5,019399,"Primary auditory area, layer 5",140,1002,/997/8/567/688/695/315/247/1002/847/,837
954,AUDp6a,019399,"Primary auditory area, layer 6a",141,1002,/997/8/567/688/695/315/247/1002/954/,944
1005,AUDp6b,019399,"Primary auditory area, layer 6b",142,1002,/997/8/567/688/695/315/247/1002/1005/,995
1027,AUDpo,019399,Posterior auditory area,143,247,/997/8/567/688/695/315/247/1027/,1016
696,AUDpo1,019399,"Posterior auditory area, layer 1",144,1027,/997/8/567/688/695/315/247/1027/696/,686
643,AUDpo2/3,019399,"Posterior auditory area, layer 2/3",145,1027,/997/8/567/688/695/315/247/1027/643/,633
759,AUDpo4,019399,"Posterior auditory area, layer 4",146,1027,/997/8/567/688/695/315/247/1027/759/,749
791,AUDpo5,019399,"Posterior auditory area, layer 5",147,1027,/997/8/567/688/695/315/247/1027/791/,781
249,AUDpo6a,019399,"Posterior auditory area, layer 6a",148,1027,/997/8/567/688/695/315/247/1027/249/,242
456,AUDpo6b,019399,"Posterior auditory area, layer 6b",149,1027,/997/8/567/688/695/315/247/1027/456/,446
1018,AUDv,019399,Ventral auditory area,150,247,/997/8/567/688/695/315/247/1018/,1007
959,AUDv1,019399,"Ventral auditory area, layer 1",151,1018,/997/8/567/688/695/315/247/1018/959/,949
755,AUDv2/3,019399,"Ventral auditory area, layer 2/3",152,1018,/997/8/567/688/695/315/247/1018/755/,745
990,AUDv4,019399,"Ventral auditory area, layer 4",153,1018,/997/8/567/688/695/315/247/1018/990/,980
1023,AUDv5,019399,"Ventral auditory area, layer 5",154,1018,/997/8/567/688/695/315/247/1018/1023/,1012
520,AUDv6a,019399,"Ventral auditory area, layer 6a",155,1018,/997/8/567/688/695/315/247/1018/520/,510
598,AUDv6b,019399,"Ventral auditory area, layer 6b",156,1018,/997/8/567/688/695/315/247/1018/598/,588
669,VIS,08858C,Visual areas,157,315,/997/8/567/688/695/315/669/,659
801,VIS1,08858C,"Visual areas, layer 1",158,669,/997/8/567/688/695/315/669/801/,791
561,VIS2/3,08858C,"Visual areas, layer 2/3",159,669,/997/8/567/688/695/315/669/561/,551
913,VIS4,08858C,"Visual areas, layer 4",160,669,/997/8/567/688/695/315/669/913/,903
937,VIS5,08858C,"Visual areas, layer 5",161,669,/997/8/567/688/695/315/669/937/,927
457,VIS6a,08858C,"Visual areas, layer 6a",162,669,/997/8/567/688/695/315/669/457/,447
497,VIS6b,08858C,"Visual areas, layer 6b",163,669,/997/8/567/688/695/315/669/497/,487
402,VISal,08858C,Anterolateral visual area,164,669,/997/8/567/688/695/315/669/402/,392
1074,VISal1,08858C,"Anterolateral visual area, layer 1",165,402,/997/8/567/688/695/315/669/402/1074/,1063
